x,y,age,sex,prior_visit,behavior_type,group_number,group_type,group_leader,initial_energy,ID,role,exit,prompt,table,party,turned back x,turned back y,starting room,ids employees y/n,employee location x1,employee location y1,took,note
256,203,,,FALSE,,47,4,,100,c71-c,patron,C,,,,,,cabaret room,,,,,
274,272,,,TRUE,,56,4,,100,d52,non-tipped,C,,,,,,cabaret room,,,,,
270,233,,,TRUE,,56,4,,100,d52-a,non-tipped,C,,,,,,cabaret room,,,,,
256,227,,,FALSE,,,,,100,d58,patron,C,,,,,,cabaret room,,,,,
246,289,,,FALSE,,58,4,,100,d65,patron,C,,,,,,cabaret room,,,,,
256,234,,,FALSE,,58,4,,100,d66,patron,C,,,,,,cabaret room,,,,,
253,261,,,FALSE,,59,4,,100,d71,patron,S,,,,243,251,cabaret room,,,,,
247,287,,,FALSE,,59,4,,100,d71-a,patron,S,,,,243,251,cabaret room,,,,,
273,216,,,FALSE,,60,4,,100,d73,patron,S,,,,245,264,cabaret room,,,,,
273,238,,,FALSE,,60,4,,100,d74,patron,S,,,,245,264,cabaret room,,,,,
270,208,,,FALSE,,61,4,,100,d75,patron,GC,,,,,,cabaret room,,,,,
273,196,,,FALSE,,61,4,,100,d76,patron,GC,,,,,,cabaret room,,,,,
258,298,,,FALSE,,63,4,,100,d89,patron,GC,,,,,,cabaret room,,,,,
249,224,,,TRUE,,63,4,,100,d90,non-tipped,GC,,,,,,cabaret room,,,,,
255,210,,,FALSE,,,,,100,d101,patron,C,,,,,,cabaret room,,,,,
262,204,,,FALSE,,69,4,,100,e31,patron,C,,,,,,cabaret room,,,,,
271,237,,,FALSE,,69,4,,100,e32,patron,C,,,,,,cabaret room,,,,,
253,250,,,FALSE,,,,,100,f49,patron,C,,,,,,cabaret room,,,,,
260,235,,,FALSE,,,,,100,f52,patron,S,,,,264,267,cabaret room,,,,,
272,224,,,FALSE,,79,4,,100,f64,patron,C,,,,,,cabaret room,,,,,
272,277,,,FALSE,,79,4,,100,f65,patron,C,,,,,,cabaret room,,,,,
276,292,,,FALSE,,80,4,,100,f67,patron,C,,,,,,cabaret room,,,,,
277,202,,,FALSE,,80,4,,100,f68,patron,C,,,,,,cabaret room,,,,,
267,250,,,FALSE,,81,4,,100,f70,patron,C,,,,,,cabaret room,,,,,
260,269,,,FALSE,,81,4,,100,f71,patron,C,,,,,,cabaret room,,,,,
273,256,,,FALSE,,,,,100,f72,patron,C,,,,,,cabaret room,,,,,
257,234,,,FALSE,,82,4,,100,f73,patron,C,,,,,,cabaret room,,,,,
258,317,,,FALSE,,82,4,,100,f74,patron,C,,,,,,cabaret room,,,,,
248,216,,,FALSE,,83,4,,100,f78,patron,S,,,,,,cabaret room,,,,,
260,309,,,FALSE,,83,4,,100,f79,patron,S,,,,,,cabaret room,,,,,
249,212,,,FALSE,,,,,100,g35,patron,C,,,,,,cabaret room,,,,,
260,253,,,FALSE,,86,4,,100,g39,patron,C,,,,,,cabaret room,,,,,
248,308,,,FALSE,,86,4,,100,g40,patron,C,,,,,,cabaret room,,,,,
268,255,,,FALSE,,86,4,,100,g40-a? [cut off],patron,C,,,,,,cabaret room,,,,,
266,322,,,FALSE,,87,4,,100,g41,patron,GC,,,,,,cabaret room,,,,,
274,279,,,FALSE,,87,4,,100,g42,patron,GC,,,,,,cabaret room,,,,,
271,232,,,FALSE,,88,4,,100,g45,patron,S,,,,,,cabaret room,,,,,
258,289,,,FALSE,,88,4,,100,g45-a,patron,S,,,,,,cabaret room,,,,,
168,119,,male,FALSE,,h47,4,,100,?47,patron,C,,,,,,empire room,,,,,
90,55,,female,FALSE,,4,4,,100,?48,patron,K,,,,,,main dining,,,,,
262,323,,,FALSE,,dayton aaa,2,,100,?50,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
140,114,,female,FALSE,,55,4,,100,?51,patron,C,,,,,,empire room,,,,,
